transaction_id,scan_end_ns,image_index,image_ns,signed_mismatch_ms,abs_mismatch_ms,eligible
2577,1660857653603645399,6266,1660857653598164524,-5.480875,5.480875,1
2578,1660857653704505280,6269,1660857653720371140,15.86586,15.86586,1
2579,1660857653805365399,6271,1660857653801844684,-3.520715,3.520715,1
2580,1660857653906224325,6273,1660857653924065004,17.840679,17.840679,1
2581,1660857654007027462,6275,1660857654005533364,-1.494098,1.494098,1
2582,1660857654107887343,6277,1660857654095346242,-12.541101,12.541101,1
2583,1660857654208747461,6280,1660857654217559498,8.812037,8.812037,1
2584,1660857654309607342,6282,1660857654290709908,-18.897434,18.897434,1
2585,1660857654410467461,6285,1660857654412916788,2.449327,2.449327,1
2586,1660857654511327341,6287,1660857654502717796,-8.609545,8.609545,1
2587,1660857654612187460,6289,1660857654592531289,-19.656171,19.656171,1
2588,1660857654713047341,6292,1660857654706407340,-6.640001,6.640001,1
2589,1660857654813907459,6295,1660857654828613506,14.706047,14.706047,1
2590,1660857654914767340,6297,1660857654910092082,-4.675258,4.675258,1
2591,1660857655015571431,6300,1660857655023967140,8.395709,8.395709,1
2592,1660857655116431311,6302,1660857655105447356,-10.983955,10.983955,1
2593,1660857655217291430,6305,1660857655227656908,10.365478,10.365478,1
2594,1660857655318151311,6307,1660857655317468794,-0.682517,0.682517,1
2595,1660857655419011429,6309,1660857655398947986,-20.063443,20.063443,0
2596,1660857655519871310,6311,1660857655512826972,-7.044338,7.044338,1
2597,1660857655620109349,6314,1660857655635035748,14.926399,14.926399,1
2598,1660857655721591309,6316,1660857655724853020,3.261711,3.261711,1
2599,1660857655822450474,6318,1660857655814651385,-7.799089,7.799089,1
2600,1660857655923310354,6320,1660857655904457878,-18.852476,18.852476,1
2601,1660857656024114445,6323,1660857656026691430,2.576985,2.576985,1
2602,1660857656124974326,6325,1660857656108144846,-16.82948,16.82948,1
2603,1660857656225834444,6328,1660857656230361974,4.52753,4.52753,1
