lidar_header_stamp,run_a_n,run_b_n,run_c_n,run_a_b_cloud_hash_equal,run_a_b_max_abs_initial_raw_final_pose_component_diff,run_a_b_fitness_abs_diff,run_a_b_iterations_equal,run_a_b_convergence_equal,run_a_b_exact_diagnostics,run_c_matches_a_diagnostics,captured_point_xyz_hash_a_b_c_equal,captured_point_count_a_b_c,captured_raw_message_hash_a_b_c_equal
1660857404.997809887,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857405.098613977,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857405.199474096,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857405.300333977,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857405.401194096,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857405.502053976,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857405.602914095,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857405.703773975,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857405.804634094,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857405.905493975,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857406.006299019,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857406.107158899,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857406.208019018,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857406.308878899,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857406.409739017,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857406.510598898,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857406.611459017,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857406.712318897,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857406.813179016,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857406.914037943,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857407.014842033,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857407.115701914,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857407.216562033,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857407.317421913,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857407.418282032,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857407.519141912,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857407.620002031,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857407.720861912,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857407.821722031,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857407.922581911,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857408.023386002,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857408.124245882,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857408.225106001,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857408.325965881,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857408.426826000,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857408.527686119,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857408.628546000,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857408.729406118,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857408.830265999,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857408.931124926,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857409.031929970,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857409.132790089,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857409.233649969,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857409.334510088,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857409.435369968,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857409.536230087,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
