selection_index,split,segment_id,scan_index,stamp,stage,candidate_id,converged,fitness,nn_median,nn_p90,nn_p95,lt0p5,lt1,lt2,delta_tx,delta_ty,delta_tz,delta_tnorm,delta_roll,delta_pitch,delta_yaw,delta_angle,d00,d01,d02,d10,d11,d12,d20,d21,d22
10,VALIDATION,0,105,1517157229.68,A_DIRECT,-1,1,0.0334435659984,0.0911810100079,0.147200487554,0.209721796215,0.977292965272,0.991985752449,0.999554764025,-0.122694962699,0.264685785879,0.679172404261,0.739180474463,178.437010091,-175.356034371,-179.306199665,4.95478147101,0.996647301433,-0.0120692818646,-0.0809640446437,0.014312541466,0.999530807121,0.0271864464745,0.0805976708358,-0.0282542755727,0.996348235883
11,VALIDATION,0,264,1517157245.71,A_DIRECT,-1,1,0.0256607851791,0.0930021926761,0.135949376225,0.158055220544,0.992781316348,0.994479830149,0.9983014862,-0.0429630220565,0.552369627252,4.46268151218,4.49694166134,175.230098811,-174.724089912,-179.81061596,7.11869318274,0.995760653181,-0.0032913501644,-0.0919521728437,0.0109401049126,0.99650707798,0.0828021120788,0.0913583360662,-0.0834567360116,0.992315387145
12,VALIDATION,1,560,1517157275.57,A_DIRECT,-1,1,0.00930377814261,0.0832684934139,0.122492744774,0.136242816597,0.999584026622,1,1,0.0306673768086,1.63827361719,11.640844315,11.7556002526,177.951949085,-174.616410917,-179.204604088,5.82740554417,0.995493800238,-0.0138214306519,-0.0938232376271,0.0172256430529,0.999217150886,0.0355800008036,0.0932581604025,-0.0370356605784,0.994953565036
13,VALIDATION,1,327,1517157252.07,A_DIRECT,-1,1,0.00958711231052,0.079973988235,0.120498374104,0.131152655184,0.998292787025,0.998719590269,1,-0.172018103645,0.685938430218,6.19970815491,6.23991049327,179.471382048,-175.09758146,-179.693463799,4.94006787944,0.996329007286,-0.00533048947843,-0.0854591155257,0.00613824893245,0.999939384848,0.00919226862834,0.0854048674623,-0.00968298665274,0.996302246087
14,VALIDATION,2,827,1517157302.49,A_DIRECT,-1,0,1.79769313486e+308,14.0717806816,15.0435826302,15.1133164883,0,0,0,3.25528816347e-07,-3.38838199809e-06,-6.82657033124e-07,3.47176067726e-06,179.999999936,-179.999999998,-179.999999948,0.00671915260223,0.999999987665,1.16469989093e-09,-3.49853297374e-11,9.07091305064e-10,1.00000000002,1.12314529899e-09,4.31901476389e-11,1.91167551233e-09,0.999999998565
15,VALIDATION,2,564,1517157275.97,A_DIRECT,-1,1,0.00887814539569,0.0790884867311,0.119022209942,0.130562782288,1,1,1,0.302421162471,1.34715269769,11.7500363954,11.8308763092,177.331982891,-175.377626394,-179.742473168,5.34632979632,0.996738995842,-0.00448033273515,-0.0805882812191,0.00824106494603,0.998890063743,0.046397608198,0.080290935787,-0.0469103103108,0.995670302653
16,VALIDATION,3,1050,1517157324.98,A_DIRECT,-1,0,1.79769313486e+308,16.5721187592,17.5018806458,17.7064647675,0,0,0,1.69832310348e-06,1.10646998053e-06,3.86747727177e-07,2.06352877036e-06,179.999999951,-179.999999994,179.999999679,0.00121544386947,1.00000003885,-3.66192529533e-09,-9.81842523951e-11,-5.59557749723e-09,0.9999999698,8.55905693542e-10,-1.10951291557e-09,-8.47050055097e-10,0.9999999909
17,VALIDATION,3,931,1517157312.98,A_DIRECT,-1,0,1.79769313486e+308,14.5051736832,15.3744709015,15.5461679459,0,0,0,1.55839335036e-06,9.18666756888e-07,-1.55006031122e-07,1.81564460023e-06,4.96712552217e-08,-3.67827109337e-08,9.09267201674e-07,0.0131654174913,0.999999991951,-1.92846269285e-08,-6.41979408435e-10,1.58697061259e-08,0.999999979633,-8.6692692608e-10,5.80062572194e-10,6.99436966678e-11,0.999999975618
18,VALIDATION,4,1353,1517157355.54,A_DIRECT,-1,0,1.79769313486e+308,19.7697610855,20.5322580338,20.734700489,0,0,0,1.90967048752e-06,-6.43356614205e-07,-1.28045414272e-08,2.01517072732e-06,179.999999999,-179.999999997,179.99999997,0,1.00000000355,2.96350277854e-09,-4.72407321594e-11,-5.27572101972e-10,1.00000002957,1.48444971593e-11,5.15052053091e-10,-8.86464582295e-11,1.00000000128
19,VALIDATION,4,1243,1517157344.45,A_DIRECT,-1,0,1.79769313486e+308,19.5301427841,20.4716291428,20.6484471321,0,0,0,-4.30242457128e-06,-9.88262385704e-07,2.54010572576e-07,4.42176900183e-06,1.52598138891e-07,-2.4229471419e-07,-2.25453407664e-06,0,0.999999994609,-3.23803945341e-08,-4.2288405e-09,-3.93490427169e-08,0.999999999532,-2.66334000687e-09,-1.84763204736e-10,-6.03354301243e-09,1.00000001908
