sequence,frame,window,phase,relative_time_s,init_type,init_to_raw_translation_m,init_to_raw_rotation_deg,initial_translation_error_m,raw_endpoint_translation_error_m,translation_error_change_m,correction_ratio_translation,fitness,transformation_probability,iterations,converged
Corridor01,R6_0075,W0_0_3.068,PHASE0,2.42052,ONLINE_BASELINE,0.0262722,1.34783,0.173866,0.15315,-0.020716,0.119149229867,0.360429,1.33688,2,1
Corridor01,R6_0075,W0_0_3.068,PHASE0,2.42052,ORACLE_RELATIVE,0.154808,2.54731,0,0.154808,0.154808,NA,0.386623,1.34228,5,1
Corridor01,R6_0075,W0_0_3.068,PHASE0,2.42052,PERFECT_INCREMENT,0.0128953,0.700412,0.173904,0.175162,0.001258,-0.00723387616156,0.396399,1.34497,1,1
Corridor01,R6_0076,W0_0_3.068,PHASE0,2.52138,ONLINE_BASELINE,0.0712617,0.834274,0.156834,0.22568,0.068846,-0.438973691929,0.453879,1.35116,2,1
Corridor01,R6_0076,W0_0_3.068,PHASE0,2.52138,ORACLE_RELATIVE,0.0957623,1.84349,0,0.0957623,0.0957623,NA,0.248281,1.27373,4,1
Corridor01,R6_0076,W0_0_3.068,PHASE0,2.52138,PERFECT_INCREMENT,0.0903096,1.66944,0.158682,0.237899,0.079217,-0.499218562912,0.430969,1.35068,2,1
Corridor01,R6_0077,W0_0_3.068,PHASE0,2.62224,ONLINE_BASELINE,0.0834465,0.501953,0.302685,0.220757,-0.081928,0.27067082941,0.429727,1.33925,2,1
Corridor01,R6_0077,W0_0_3.068,PHASE0,2.62224,ORACLE_RELATIVE,0.0659926,0.419383,0,0.0659926,0.0659926,NA,0.213884,1.2326,2,1
Corridor01,R6_0077,W0_0_3.068,PHASE0,2.62224,PERFECT_INCREMENT,0.0207378,0.658126,0.237176,0.217408,-0.019768,0.083347387594,0.452045,1.33559,1,1
Corridor01,R6_0078,W0_0_3.068,PHASE0,2.7231,ONLINE_BASELINE,0.038098,0.458442,0.230201,0.263855,0.033654,-0.146193978306,0.455972,1.33862,2,1
Corridor01,R6_0078,W0_0_3.068,PHASE0,2.7231,ORACLE_RELATIVE,0.255188,1.74965,0,0.255188,0.255188,NA,0.463338,1.34,4,1
Corridor01,R6_0078,W0_0_3.068,PHASE0,2.7231,PERFECT_INCREMENT,0.0200174,1.2183,0.230242,0.244026,0.013784,-0.05986744382,0.514176,1.33673,1,1
Corridor01,R6_0079,W0_0_3.068,PHASE0,2.8239,ONLINE_BASELINE,0.0418504,0.242996,0.299462,0.268675,-0.030787,0.102807701812,0.444205,1.37164,2,1
Corridor01,R6_0079,W0_0_3.068,PHASE0,2.8239,ORACLE_RELATIVE,0.0523701,0.571467,0,0.0523701,0.0523701,NA,0.250652,1.21663,2,1
Corridor01,R6_0079,W0_0_3.068,PHASE0,2.8239,PERFECT_INCREMENT,0.0311711,1.38647,0.268987,0.29019,0.021203,-0.0788253707428,0.383348,1.35895,1,1
Corridor01,R6_0080,W0_0_3.068,PHASE0,2.92476,ONLINE_BASELINE,0.0216468,0.0491988,0.270791,0.289107,0.018316,-0.0676388801696,0.496919,1.31987,1,1
Corridor01,R6_0080,W0_0_3.068,PHASE0,2.92476,ORACLE_RELATIVE,0.0823845,0.447911,0,0.0823845,0.0823845,NA,0.259621,1.20798,2,1
Corridor01,R6_0080,W0_0_3.068,PHASE0,2.92476,PERFECT_INCREMENT,0.0148924,0.191041,0.279025,0.293092,0.014067,-0.0504148373802,0.480892,1.31829,1,1
Corridor01,R6_0081,W0_0_3.068,PHASE0,3.02562,ONLINE_BASELINE,0.0110577,0.0344151,0.311656,0.305658,-0.005998,0.0192455784583,0.521614,1.29552,1,1
Corridor01,R6_0081,W0_0_3.068,PHASE0,3.02562,ORACLE_RELATIVE,0.0912585,0.246789,0,0.0912585,0.0912585,NA,0.269703,1.1705,2,1
Corridor01,R6_0081,W0_0_3.068,PHASE0,3.02562,PERFECT_INCREMENT,0.00972684,0.239093,0.300123,0.300668,0.000545,-0.00181592213859,0.527871,1.2988,1,1
Corridor01,R6_0082,W1_3.068_5.590,PHASE1,3.12648,ONLINE_BASELINE,0.00772038,0.445061,0.309373,0.304159,-0.005214,0.0168534422849,0.463302,1.30404,1,1
Corridor01,R6_0082,W1_3.068_5.590,PHASE1,3.12648,ORACLE_RELATIVE,0.293297,2.2106,0,0.293297,0.293297,NA,0.46237,1.30673,6,1
Corridor01,R6_0082,W1_3.068_5.590,PHASE1,3.12648,PERFECT_INCREMENT,0.0206464,0.71654,0.316067,0.296635,-0.019432,0.0614806354349,0.49964,1.29974,1,1
Corridor01,R6_0083,W1_3.068_5.590,PHASE1,3.22734,ONLINE_BASELINE,0.0270157,0.465145,0.305217,0.314958,0.009741,-0.0319149981816,0.455189,1.30432,1,1
Corridor01,R6_0083,W1_3.068_5.590,PHASE1,3.22734,ORACLE_RELATIVE,0.0728674,0.334154,0,0.0728674,0.0728674,NA,0.260987,1.18576,2,1
Corridor01,R6_0083,W1_3.068_5.590,PHASE1,3.22734,PERFECT_INCREMENT,0.0297534,0.677129,0.311616,0.326899,0.015283,-0.0490443366194,0.432427,1.30506,1,1
