sequence,record_scope,frame,window,phase,relative_time_s,actual_timestamp,init_type,initial_translation_error_m,initial_rotation_error_deg,raw_endpoint_translation_error_m,raw_endpoint_rotation_error_deg,translation_error_change_m,rotation_error_change_deg,correction_ratio_translation,ndt_displacement_translation_m,ndt_displacement_rotation_deg,fitness,transformation_probability,iterations,converged,translation_limited,rotation_limited,baseline_oracle_endpoint_separation_m,baseline_oracle_endpoint_separation_deg,window_stats_inclusion,source,observation_conditioning
Corridor01,registration_counterfactual,R6_0065,W0_0_3.068,PHASE0,1.41198,1517157225.64,PERFECT_INCREMENT,0.0962114,1.2404,0.0953151,1.19031,-0.0008963,-0.05009,0.00931594384865,0.0223249,0.631802,0.384224,1.28736,1,1,,,0.028923,0.216101,YES,P3-R6 p3_r6_initialization_comparison.csv,固定的、既有 full-SE3 v2 输入云；其 translation deskew 由前序已完成 NDT 位姿提供
Corridor01,registration_counterfactual,R6_0066,W0_0_3.068,PHASE0,1.51284,1517157225.74,ONLINE_BASELINE,0.128083,1.92648,0.107279,1.93108,-0.020804,0.0046,0.162425926938,0.0212425,0.132896,0.332331,1.29788,1,1,,,0.0386616,1.04345,YES,P3-R6 p3_r6_initialization_comparison.csv,固定的、既有 full-SE3 v2 输入云；其 translation deskew 由前序已完成 NDT 位姿提供
Corridor01,registration_counterfactual,R6_0066,W0_0_3.068,PHASE0,1.51284,1517157225.74,ORACLE_RELATIVE,0,5.00829e-17,0.0941471,0.937649,0.0941471,0.937649,-94147100,0.0941471,0.937649,0.281029,1.28237,2,1,,,0.0386616,1.04345,YES,P3-R6 p3_r6_initialization_comparison.csv,固定的、既有 full-SE3 v2 输入云；其 translation deskew 由前序已完成 NDT 位姿提供
Corridor01,registration_counterfactual,R6_0066,W0_0_3.068,PHASE0,1.51284,1517157225.74,PERFECT_INCREMENT,0.103001,0.957649,0.104365,1.04057,0.001364,0.082921,-0.0132425898778,0.022384,0.294153,0.280376,1.2828,1,1,,,0.0386616,1.04345,YES,P3-R6 p3_r6_initialization_comparison.csv,固定的、既有 full-SE3 v2 输入云；其 translation deskew 由前序已完成 NDT 位姿提供
Corridor01,registration_counterfactual,R6_0067,W0_0_3.068,PHASE0,1.6137,1517157225.85,ONLINE_BASELINE,0.114507,1.16195,0.107327,0.915127,-0.00718,-0.246823,0.0627035901735,0.0146702,0.394667,0.347555,1.28728,1,1,,,0.0257631,0.325952,YES,P3-R6 p3_r6_initialization_comparison.csv,固定的、既有 full-SE3 v2 输入云；其 translation deskew 由前序已完成 NDT 位姿提供
Corridor01,registration_counterfactual,R6_0067,W0_0_3.068,PHASE0,1.6137,1517157225.85,ORACLE_RELATIVE,0,1.2424e-16,0.0879583,0.596732,0.0879583,0.596732,-87958300,0.0879583,0.596732,0.331657,1.29131,2,1,,,0.0257631,0.325952,YES,P3-R6 p3_r6_initialization_comparison.csv,固定的、既有 full-SE3 v2 输入云；其 translation deskew 由前序已完成 NDT 位姿提供
Corridor01,registration_counterfactual,R6_0067,W0_0_3.068,PHASE0,1.6137,1517157225.85,PERFECT_INCREMENT,0.108286,1.93108,0.110734,1.81332,0.002448,-0.11776,-0.0226068005098,0.02729,0.319899,0.424385,1.28996,1,1,,,0.0257631,0.325952,YES,P3-R6 p3_r6_initialization_comparison.csv,固定的、既有 full-SE3 v2 输入云；其 translation deskew 由前序已完成 NDT 位姿提供
Corridor01,registration_counterfactual,R6_0068,W0_0_3.068,PHASE0,1.71456,1517157225.95,ONLINE_BASELINE,0.117477,0.894866,0.103564,1.02457,-0.013913,0.129704,0.118431693012,0.0203962,0.131805,0.351303,1.29449,1,1,,,0.0370809,0.503253,YES,P3-R6 p3_r6_initialization_comparison.csv,固定的、既有 full-SE3 v2 输入云；其 translation deskew 由前序已完成 NDT 位姿提供
Corridor01,registration_counterfactual,R6_0068,W0_0_3.068,PHASE0,1.71456,1517157225.95,ORACLE_RELATIVE,0,4.96962e-17,0.0831758,0.797364,0.0831758,0.797364,-83175800,0.0831758,0.797364,0.311665,1.28676,2,1,,,0.0370809,0.503253,YES,P3-R6 p3_r6_initialization_comparison.csv,固定的、既有 full-SE3 v2 输入云；其 translation deskew 由前序已完成 NDT 位姿提供
Corridor01,registration_counterfactual,R6_0068,W0_0_3.068,PHASE0,1.71456,1517157225.95,PERFECT_INCREMENT,0.107931,0.915115,0.100057,1.02244,-0.007874,0.107325,0.0729540169182,0.0143597,0.172205,0.356995,1.29579,1,1,,,0.0370809,0.503253,YES,P3-R6 p3_r6_initialization_comparison.csv,固定的、既有 full-SE3 v2 输入云；其 translation deskew 由前序已完成 NDT 位姿提供
Corridor01,registration_counterfactual,R6_0069,W0_0_3.068,PHASE0,1.81536,1517157226.05,ONLINE_BASELINE,0.10103,1.05755,0.0987595,1.05654,-0.0022705,-0.00101,0.022473522716,0.00472146,0.0311574,0.298031,1.28906,1,1,,,0.0226049,0.203066,YES,P3-R6 p3_r6_initialization_comparison.csv,固定的、既有 full-SE3 v2 输入云；其 translation deskew 由前序已完成 NDT 位姿提供
Corridor01,registration_counterfactual,R6_0069,W0_0_3.068,PHASE0,1.81536,1517157226.05,ORACLE_RELATIVE,0,3.98781e-16,0.0798453,0.913528,0.0798453,0.913528,-79845300,0.0798453,0.913528,0.285343,1.28892,2,1,,,0.0226049,0.203066,YES,P3-R6 p3_r6_initialization_comparison.csv,固定的、既有 full-SE3 v2 输入云；其 translation deskew 由前序已完成 NDT 位姿提供
Corridor01,registration_counterfactual,R6_0069,W0_0_3.068,PHASE0,1.81536,1517157226.05,PERFECT_INCREMENT,0.104379,1.02456,0.099949,1.03627,-0.00443,0.01171,0.0424414872723,0.00484808,0.0891001,0.294683,1.28851,1,1,,,0.0226049,0.203066,YES,P3-R6 p3_r6_initialization_comparison.csv,固定的、既有 full-SE3 v2 输入云；其 translation deskew 由前序已完成 NDT 位姿提供
Corridor01,registration_counterfactual,R6_0070,W0_0_3.068,PHASE0,1.91622,1517157226.15,ONLINE_BASELINE,0.0983686,1.58964,0.113014,1.99472,0.0146454,0.40508,-0.148882875226,0.022806,0.428109,0.839425,1.30217,1,1,,,0.054537,1.24333,YES,P3-R6 p3_r6_initialization_comparison.csv,固定的、既有 full-SE3 v2 输入云；其 translation deskew 由前序已完成 NDT 位姿提供
Corridor01,registration_counterfactual,R6_0070,W0_0_3.068,PHASE0,1.91622,1517157226.15,ORACLE_RELATIVE,0,5.62557e-16,0.0996534,1.02228,0.0996534,1.02228,-99653400,0.0996534,1.02228,0.753258,1.2745,2,1,,,0.054537,1.24333,YES,P3-R6 p3_r6_initialization_comparison.csv,固定的、既有 full-SE3 v2 输入云；其 translation deskew 由前序已完成 NDT 位姿提供
Corridor01,registration_counterfactual,R6_0070,W0_0_3.068,PHASE0,1.91622,1517157226.15,PERFECT_INCREMENT,0.0996857,1.05654,0.10862,1.47082,0.0089343,0.41428,-0.0896246904019,0.011534,0.431291,0.804053,1.29419,1,1,,,0.054537,1.24333,YES,P3-R6 p3_r6_initialization_comparison.csv,固定的、既有 full-SE3 v2 输入云；其 translation deskew 由前序已完成 NDT 位姿提供
Corridor01,registration_counterfactual,R6_0071,W0_0_3.068,PHASE0,2.01708,1517157226.25,ONLINE_BASELINE,0.13199,1.74592,0.156123,2.84124,0.024133,1.09532,-0.182839609061,0.0715253,1.38595,0.433797,1.31414,2,1,,,0.134506,2.32417,YES,P3-R6 p3_r6_initialization_comparison.csv,固定的、既有 full-SE3 v2 输入云；其 translation deskew 由前序已完成 NDT 位姿提供
Corridor01,registration_counterfactual,R6_0071,W0_0_3.068,PHASE0,2.01708,1517157226.25,ORACLE_RELATIVE,0,8.9591e-17,0.0880328,0.68716,0.0880328,0.68716,-88032800,0.0880328,0.68716,0.252227,1.29613,2,1,,,0.134506,2.32417,YES,P3-R6 p3_r6_initialization_comparison.csv,固定的、既有 full-SE3 v2 输入云；其 translation deskew 由前序已完成 NDT 位姿提供
