sequence,record_scope,frame,window,phase,relative_time_s,actual_timestamp,init_type,initial_translation_error_m,initial_rotation_error_deg,raw_endpoint_translation_error_m,raw_endpoint_rotation_error_deg,translation_error_change_m,rotation_error_change_deg,correction_ratio_translation,ndt_displacement_translation_m,ndt_displacement_rotation_deg,fitness,transformation_probability,iterations,converged,translation_limited,rotation_limited,baseline_oracle_endpoint_separation_m,baseline_oracle_endpoint_separation_deg,window_stats_inclusion,source,observation_conditioning
Floor01,registration_counterfactual,F01_NDT_0166,W0_PRE,PHASE0,16.0358,1660857409.23,PERFECT_INCREMENT,0.0775055,0.704605,0.0748651,0.58392,-0.0026404,-0.120685,0.0340672597429,0.00494282,0.125425,0.312525,1.58276,1,1,0,0,0.0715648,0.397831,YES,P3-R7I floor01_r7i_initialization_comparison.csv,baseline-conditioned closed-loop full-SE3 deskew cloud; counterfactual NDT does not regenerate cloud history
Floor01,registration_counterfactual,F01_NDT_0167,W0_PRE,PHASE0,16.1367,1660857409.33,ONLINE_BASELINE,0.0733995,0.51817,0.0791574,0.4724,0.0057579,-0.04577,-0.0784460384608,0.00950706,0.0492693,0.31554,1.56267,1,1,0,0,0.0652976,0.454874,YES,P3-R7I floor01_r7i_initialization_comparison.csv,baseline-conditioned closed-loop full-SE3 deskew cloud; counterfactual NDT does not regenerate cloud history
Floor01,registration_counterfactual,F01_NDT_0167,W0_PRE,PHASE0,16.1367,1660857409.33,ORACLE_RELATIVE,0,5.048e-17,0.0147016,0.151932,0.0147016,0.151932,NA,0.0147016,0.151932,0.319667,1.56017,1,1,0,0,0.0652976,0.454874,YES,P3-R7I floor01_r7i_initialization_comparison.csv,baseline-conditioned closed-loop full-SE3 deskew cloud; counterfactual NDT does not regenerate cloud history
Floor01,registration_counterfactual,F01_NDT_0167,W0_PRE,PHASE0,16.1367,1660857409.33,PERFECT_INCREMENT,0.0753242,0.562064,0.0822945,0.507634,0.0069703,-0.05443,-0.0925373253217,0.00833659,0.0578099,0.315346,1.56333,1,1,0,0,0.0652976,0.454874,YES,P3-R7I floor01_r7i_initialization_comparison.csv,baseline-conditioned closed-loop full-SE3 deskew cloud; counterfactual NDT does not regenerate cloud history
Floor01,registration_counterfactual,F01_NDT_0168,W0_PRE,PHASE0,16.2376,1660857409.44,ONLINE_BASELINE,0.0811115,0.457122,0.0831626,0.683818,0.0020511,0.226696,-0.0252874130056,0.00319385,0.246733,0.325196,1.57828,1,1,0,0,0.0667168,0.379619,YES,P3-R7I floor01_r7i_initialization_comparison.csv,baseline-conditioned closed-loop full-SE3 deskew cloud; counterfactual NDT does not regenerate cloud history
Floor01,registration_counterfactual,F01_NDT_0168,W0_PRE,PHASE0,16.2376,1660857409.44,ORACLE_RELATIVE,0,7.67555e-17,0.0173154,0.310043,0.0173154,0.310043,NA,0.0173154,0.310043,0.329106,1.57413,1,1,0,0,0.0667168,0.379619,YES,P3-R7I floor01_r7i_initialization_comparison.csv,baseline-conditioned closed-loop full-SE3 deskew cloud; counterfactual NDT does not regenerate cloud history
Floor01,registration_counterfactual,F01_NDT_0168,W0_PRE,PHASE0,16.2376,1660857409.44,PERFECT_INCREMENT,0.0791585,0.4724,0.0830905,0.690636,0.003932,0.218236,-0.0496724925308,0.00397842,0.237172,0.325171,1.57733,1,1,0,0,0.0667168,0.379619,YES,P3-R7I floor01_r7i_initialization_comparison.csv,baseline-conditioned closed-loop full-SE3 deskew cloud; counterfactual NDT does not regenerate cloud history
Floor01,registration_counterfactual,F01_NDT_0169,W0_PRE,PHASE0,16.3384,1660857409.54,ONLINE_BASELINE,0.0871907,0.667547,0.0846938,0.70932,-0.0024969,0.041773,0.0286372285118,0.00403302,0.0507039,0.323054,1.57747,1,1,0,0,0.0805194,0.556653,YES,P3-R7I floor01_r7i_initialization_comparison.csv,baseline-conditioned closed-loop full-SE3 deskew cloud; counterfactual NDT does not regenerate cloud history
Floor01,registration_counterfactual,F01_NDT_0169,W0_PRE,PHASE0,16.3384,1660857409.54,ORACLE_RELATIVE,0,2.09466e-16,0.00593408,0.169049,0.00593408,0.169049,NA,0.00593408,0.169049,0.328308,1.5616,1,1,0,0,0.0805194,0.556653,YES,P3-R7I floor01_r7i_initialization_comparison.csv,baseline-conditioned closed-loop full-SE3 deskew cloud; counterfactual NDT does not regenerate cloud history
Floor01,registration_counterfactual,F01_NDT_0169,W0_PRE,PHASE0,16.3384,1660857409.54,PERFECT_INCREMENT,0.0831646,0.683815,0.0795247,0.719665,-0.0036399,0.03585,0.0437674202726,0.0045122,0.0439783,0.323271,1.57442,1,1,0,0,0.0805194,0.556653,YES,P3-R7I floor01_r7i_initialization_comparison.csv,baseline-conditioned closed-loop full-SE3 deskew cloud; counterfactual NDT does not regenerate cloud history
Floor01,registration_counterfactual,F01_NDT_0170,W0_PRE,PHASE0,16.4393,1660857409.64,ONLINE_BASELINE,0.0850498,0.761313,0.0860129,0.86706,0.0009631,0.105747,-0.0113239537306,0.00317323,0.107628,0.311934,1.56806,1,1,0,0,0.0763399,0.627002,YES,P3-R7I floor01_r7i_initialization_comparison.csv,baseline-conditioned closed-loop full-SE3 deskew cloud; counterfactual NDT does not regenerate cloud history
Floor01,registration_counterfactual,F01_NDT_0170,W0_PRE,PHASE0,16.4393,1660857409.64,ORACLE_RELATIVE,0,3.47263e-18,0.0119438,0.264661,0.0119438,0.264661,NA,0.0119438,0.264661,0.317421,1.56645,1,1,0,0,0.0763399,0.627002,YES,P3-R7I floor01_r7i_initialization_comparison.csv,baseline-conditioned closed-loop full-SE3 deskew cloud; counterfactual NDT does not regenerate cloud history
Floor01,registration_counterfactual,F01_NDT_0170,W0_PRE,PHASE0,16.4393,1660857409.64,PERFECT_INCREMENT,0.084688,0.70932,0.0847887,0.851442,0.0001007,0.142122,-0.00118907047043,0.00285136,0.144623,0.312024,1.56923,1,1,0,0,0.0763399,0.627002,YES,P3-R7I floor01_r7i_initialization_comparison.csv,baseline-conditioned closed-loop full-SE3 deskew cloud; counterfactual NDT does not regenerate cloud history
Floor01,registration_counterfactual,F01_NDT_0171,W0_PRE,PHASE0,16.5401,1660857409.74,ONLINE_BASELINE,0.0874717,0.919328,0.0814797,0.791748,-0.005992,-0.12758,0.0685021555543,0.00625576,0.128269,0.328549,1.55233,1,1,0,0,0.0777703,0.703773,YES,P3-R7I floor01_r7i_initialization_comparison.csv,baseline-conditioned closed-loop full-SE3 deskew cloud; counterfactual NDT does not regenerate cloud history
Floor01,registration_counterfactual,F01_NDT_0171,W0_PRE,PHASE0,16.5401,1660857409.74,ORACLE_RELATIVE,0,1.85875e-17,0.00593093,0.147649,0.00593093,0.147649,NA,0.00593093,0.147649,0.332848,1.55802,1,1,0,0,0.0777703,0.703773,YES,P3-R7I floor01_r7i_initialization_comparison.csv,baseline-conditioned closed-loop full-SE3 deskew cloud; counterfactual NDT does not regenerate cloud history
Floor01,registration_counterfactual,F01_NDT_0171,W0_PRE,PHASE0,16.5401,1660857409.74,PERFECT_INCREMENT,0.0860046,0.86706,0.0804926,0.751745,-0.005512,-0.115315,0.0640895952077,0.00559705,0.117331,0.328633,1.55234,1,1,0,0,0.0777703,0.703773,YES,P3-R7I floor01_r7i_initialization_comparison.csv,baseline-conditioned closed-loop full-SE3 deskew cloud; counterfactual NDT does not regenerate cloud history
Floor01,registration_counterfactual,F01_NDT_0172,W0_PRE,PHASE0,16.641,1660857409.84,ONLINE_BASELINE,0.0776841,0.756592,0.0769982,0.635344,-0.0006859,-0.121248,0.00882934860544,0.00210849,0.12517,0.322891,1.55686,1,1,0,0,0.0634998,0.539806,YES,P3-R7I floor01_r7i_initialization_comparison.csv,baseline-conditioned closed-loop full-SE3 deskew cloud; counterfactual NDT does not regenerate cloud history
Floor01,registration_counterfactual,F01_NDT_0172,W0_PRE,PHASE0,16.641,1660857409.84,ORACLE_RELATIVE,0,2.20264e-17,0.0155602,0.150934,0.0155602,0.150934,NA,0.0155602,0.150934,0.326897,1.55622,1,1,0,0,0.0634998,0.539806,YES,P3-R7I floor01_r7i_initialization_comparison.csv,baseline-conditioned closed-loop full-SE3 deskew cloud; counterfactual NDT does not regenerate cloud history
Floor01,registration_counterfactual,F01_NDT_0172,W0_PRE,PHASE0,16.641,1660857409.84,PERFECT_INCREMENT,0.0814853,0.791748,0.0818554,0.665348,0.0003701,-0.1264,-0.00454192351258,0.00254036,0.13161,0.322663,1.55728,1,1,0,0,0.0634998,0.539806,YES,P3-R7I floor01_r7i_initialization_comparison.csv,baseline-conditioned closed-loop full-SE3 deskew cloud; counterfactual NDT does not regenerate cloud history
Floor01,registration_counterfactual,F01_NDT_0173,W0_PRE,PHASE0,16.7419,1660857409.94,ONLINE_BASELINE,0.0728957,0.602072,0.0800271,0.695931,0.0071314,0.093859,-0.0978301875145,0.0100848,0.0979912,0.321208,1.57252,1,1,0,0,0.0640812,0.601639,YES,P3-R7I floor01_r7i_initialization_comparison.csv,baseline-conditioned closed-loop full-SE3 deskew cloud; counterfactual NDT does not regenerate cloud history
