stamp,relative_common_s,relative_r7i_s,gt_bracket_width_s,gt_nearest_dt_s,legacy_raw_translation_error_m,legacy_raw_rotation_error_deg,legacy_final_translation_error_m,legacy_final_rotation_error_deg,mature_imu_raw_translation_error_m,mature_imu_raw_rotation_error_deg,mature_imu_final_translation_error_m,mature_imu_final_rotation_error_deg,legacy_raw_to_final_translation_delta_m,legacy_raw_to_final_rotation_delta_deg,mature_imu_raw_to_final_translation_delta_m,mature_imu_raw_to_final_rotation_delta_deg,delta_raw_translation_legacy_minus_mature_m,delta_final_translation_legacy_minus_mature_m,delta_raw_rotation_legacy_minus_mature_deg,delta_final_rotation_legacy_minus_mature_deg,legacy_fitness,mature_fitness,legacy_iterations,mature_iterations,legacy_converged,mature_converged,legacy_limited,mature_limited,legacy_cloud_hash,mature_cloud_hash,legacy_source_points,mature_source_points,hq_gt_bracket_le_0p25
1660857398.341387,4.74013996124,5.143579926,0.201719999313,0.100859880447,0.0325727673496,0.721408211038,0.0325727673496,0.721408211038,0.0636737685716,0.28339657296,0.0636737685716,0.28339657296,0,0,0,0,-0.031101001222,-0.031101001222,0.438011638078,0.438011638078,0.31971806379599,0.32178550274388856,1,1,1,1,0,0,242762ad19be23a7,00aa1d3ae3e9ac80,1400,1400,1
1660857398.4422469,4.84099984169,5.244439826,0.201719999313,0,0.0262105660608,0.978798211361,0.0262105660608,0.978798211361,0.0495382461028,0.116296677099,0.0495382461028,0.116296677099,0,0,0,0,-0.023327680042,-0.023327680042,0.862501534262,0.862501534262,0.30192740402991536,0.30774742238474573,1,1,1,1,0,0,f83fd82c7c7d102d,0a70aabe4e7adcf3,1400,1400,1
1660857398.543107,4.94185996056,5.345299926,0.201719999313,0.100859880447,0.0199416895474,1.0637841314,0.0199416895474,1.0637841314,0.0472606750975,0.101603413204,0.0472606750975,0.101603413204,0,0,0,0,-0.0273189855501,-0.0273189855501,0.9621807182,0.9621807182,0.3014712470311289,0.31558379303406714,1,1,1,1,0,0,e614b2e8da7ba963,2ebf7d9a3a899b83,1400,1400,1
1660857398.6439669,5.042719841,5.446159826,0.201720237732,0,0.0197090946379,0.74638895311,0.0197090946379,0.74638895311,0.0547260974973,0.109574490143,0.0547260974973,0.109574490143,0,0,0,0,-0.0350170028594,-0.0350170028594,0.636814462967,0.636814462967,0.3100325700401663,0.3225237860544231,1,1,1,1,0,0,e31f679f057bf786,85ffc7278f59f920,1400,1400,1
1660857398.744827,5.14357995987,5.547019926,0.201720237732,0.100860118866,0.0158908135331,0.595402001018,0.0158908135331,0.595402001018,0.048525285209,0.155594310767,0.048525285209,0.155594310767,0,0,0,0,-0.032634471676,-0.032634471676,0.43980769025,0.43980769025,0.32307638853320636,0.3287708494223885,1,1,1,1,0,0,d2232581ab13d1b7,fd2c97d32346df4c,1400,1400,1
1660857398.8456869,5.24443984032,5.647879826,0.201720237732,2.38418579102e-07,0.0189006715788,0.691012888849,0.0189006715788,0.691012888849,0.0462815695034,0.231086690111,0.0462815695034,0.231086690111,0,0,0,0,-0.0273808979246,-0.0273808979246,0.459926198738,0.459926198738,0.3403076460941676,0.32859255064447745,1,1,1,1,0,0,d06f48c5564c62e0,ce0d70211107cfe3,1400,1400,1
1660857398.946547,5.34529995918,5.748739926,0.201662778854,0.100802898407,0.0181988806036,0.405048971923,0.0181988806036,0.405048971923,0.0550528427073,0.510174583631,0.0550528427073,0.510174583631,0,0,0,0,-0.0368539621036,-0.0368539621036,-0.105125611708,-0.105125611708,0.35011044521192164,0.3556731653937926,1,1,1,1,0,0,49bace37c611403b,431d3ac8668e84ca,1400,1400,1
1660857399.0473499,5.44610285759,5.849542826,0.201719999313,0,0.0235990952004,0.465313305153,0.0235990952004,0.465313305153,0.0629717071582,0.526082972922,0.0629717071582,0.526082972922,0,0,0,0,-0.0393726119579,-0.0393726119579,-0.0607696677691,-0.0607696677691,0.35378347470020216,0.3406576198743226,1,1,1,1,0,0,3d0b91e02c70d190,5083b33d92d46823,1400,1400,1
1660857399.14821,5.54696297646,5.950402926,0.201719999313,0.100859880447,0.0341908941316,0.80775846378,0.0341908941316,0.80775846378,0.0731614193127,0.196442032351,0.0731614193127,0.196442032351,0,0,0,0,-0.0389705251811,-0.0389705251811,0.611316431428,0.611316431428,0.35370794563661545,0.3352340137188107,1,1,1,1,0,0,c3da05327d9a89dd,5e783c9a76b272f5,1400,1400,1
1660857399.2490699,5.6478228569,6.051262826,0.201719999313,0,0.0423047254364,1.01169599262,0.0423047254364,1.01169599262,0.081036213834,0.195982755785,0.081036213834,0.195982755785,0,0,0,0,-0.0387314883976,-0.0387314883976,0.815713236839,0.815713236839,0.35800557988542486,0.3513907985560218,1,1,1,1,0,0,2906e1626515febc,fc3095c66355c7ff,1400,1400,1
1660857399.34993,5.74868297577,6.152122926,0.201719999313,0.100859880447,0.0433796769277,0.912046971238,0.0433796769277,0.912046971238,0.0862258546172,0.140654175395,0.0862258546172,0.140654175395,0,0,0,0,-0.0428461776896,-0.0428461776896,0.771392795843,0.771392795843,0.35043880420997864,0.3471198945541125,1,1,1,1,0,0,55a9715cd8ac4253,a55e352ea315eb77,1400,1400,1
1660857399.4507899,5.84954285622,6.252982826,0.201719999313,0,0.0440179058666,0.95507669624,0.0440179058666,0.95507669624,0.0913492952358,0.146329017268,0.0913492952358,0.146329017268,0,0,0,0,-0.0473313893691,-0.0473313893691,0.808747678972,0.808747678972,0.3431462280438323,0.3366647835853863,1,1,1,1,0,0,addf06ea800eab94,c1394c1add8e8aab,1400,1400,1
1660857399.55165,5.95040297508,6.353842926,0.201719999313,0.100859880447,0.046266827546,0.877143442703,0.046266827546,0.877143442703,0.0935749383722,0.254508726863,0.0935749383722,0.254508726863,0,0,0,0,-0.0473081108262,-0.0473081108262,0.622634715839,0.622634715839,0.33576268101281,0.33128128107641325,1,1,1,1,0,0,247ba108da287e9f,117f4c3f3fef6e36,1400,1400,1
1660857399.6525099,6.05126285553,6.454702826,0.201719999313,0,0.0440557902076,0.747119439685,0.0440557902076,0.747119439685,0.0958686957512,0.308599245056,0.0958686957512,0.308599245056,0,0,0,0,-0.0518129055436,-0.0518129055436,0.438520194629,0.438520194629,0.35098317492754305,0.3510940789301094,1,1,1,1,0,0,c1b7fcb99a4239b4,51081d2c17d6af96,1400,1400,1
1660857399.75337,6.1521229744,6.555562926,0.201719999313,0.100859880447,0.0416400363903,1.0087809231,0.0416400363903,1.0087809231,0.0915195385602,0.277896350497,0.0915195385602,0.277896350497,0,0,0,0,-0.0498795021698,-0.0498795021698,0.730884572601,0.730884572601,0.33742848170596906,0.34252335978681264,1,1,1,1,0,0,fb9caaa0125d35a2,4a48eb03860de029,1400,1400,1
