pipeline,stamp,stamp_float,relative_common_s,relative_r7i_s,gt_supported,gt_bracket_width_s,raw_translation_error_m,raw_rotation_error_deg,final_translation_error_m,final_rotation_error_deg,raw_to_final_translation_delta_m,raw_to_final_rotation_delta_deg,fitness,iterations,converged,translation_limited,rotation_limited,cloud_hash,point_count_raw,point_count_source,initial_guess_source,local_imu_prior_used
legacy,1660857728.639241,1660857728.639241,335.03799390792847,335.441433926,1,0.201719999313,65.4496822648,141.973715041,65.4496822648,141.973715041,0,1.20741826973e-06,0.06420899048811243,1,1,0,0,a0a8d6e8fcb714d2,27723,356,local_imu_rotation_prior,1
legacy,1660857728.7401011,1660857728.740101,335.13885402679443,335.542294026,1,0.201719999313,65.440739834,141.45406755,65.440739834,141.45406755,0,1.20741826973e-06,0.06572576593841135,1,1,0,0,3d0a17d0fbfd5812,27647,352,local_imu_rotation_prior,1
legacy,1660857728.840961,1660857728.840961,335.2397139072418,335.643153926,1,0.201719999313,65.4130427867,140.308716315,65.4130427867,140.308716315,0,0,0.06751510252762097,1,1,0,0,deb7c7ad0069bcf6,27606,347,local_imu_rotation_prior,1
legacy,1660857728.9418211,1660857728.941821,335.3405740261078,335.744014026,1,0.201663970947,65.3968045625,139.245440352,65.3968045625,139.245440352,0,0,0.06996671468117836,1,1,0,0,a80d0dd63382f16e,27425,348,local_imu_rotation_prior,1
legacy,1660857729.042625,1660857729.042625,335.4413778781891,335.844817926,1,0.201663970947,65.3809186017,139.047792386,65.3809186017,139.047792386,0,0,0.069631185315837,1,1,0,0,be67a9bbcd10714e,25585,340,local_imu_rotation_prior,1
legacy,1660857729.1434851,1660857729.143485,335.54223799705505,335.945678026,1,0.201719045639,65.3561872089,138.508157106,65.3561872089,138.508157106,0,0,0.06704977704934406,1,1,0,0,b1e0f84233b7849c,24111,332,local_imu_rotation_prior,1
legacy,1660857729.2443449,1660857729.244345,335.64309787750244,336.046537826,1,0.201719045639,65.329709655,139.159691433,65.329709655,139.159691433,0,1.7075472925e-06,0.06712987196368042,1,1,0,0,d5baf7900f105f0b,23443,332,local_imu_rotation_prior,1
legacy,1660857729.3452041,1660857729.345204,335.7439570426941,336.147397026,1,0.201719999313,65.2909230193,139.543698284,65.2909230193,139.543698284,0,0,0.06716903544532565,1,1,0,0,e47ad3ec41ab2837,22923,325,local_imu_rotation_prior,1
legacy,1660857729.446064,1660857729.446064,335.8448169231415,336.248256926,1,0.201719999313,65.2480825219,139.580994741,65.2480825219,139.580994741,0,0,0.06738068744974643,1,1,0,0,2520ad3412c6fb89,22659,328,local_imu_rotation_prior,1
legacy,1660857729.5469241,1660857729.546924,335.94567704200745,336.349117026,1,0.201719999313,65.2168784659,139.151121929,65.2168784659,139.151121929,0,0,0.06761817865725891,1,1,0,0,aba57847e493a8cd,22157,327,local_imu_rotation_prior,1
